City,nYears,YearMin,YearMax,Slope_TopNDVI,Slope_BotNDVI,Slope_GapNDVI,Slope_TopLST,Slope_BotLST,Slope_GapLST,Delta_GapNDVI,Delta_GapLST,Span_Decades,NDVI_Balance,NDVI_Mechanism,LME_DeltaSlope_NDVI,LME_CI_L_NDVI,LME_CI_U_NDVI,LME_DeltaSlope_LST,LME_CI_L_LST,LME_CI_U_LST
Albuquerque,5,1990,2023,-0.0120474655338953,-0.0208231469529329,0.00877568141903757,1.97963350346857,1.91222792303302,-0.0674055804355409,0.028959748682824,-0.222438415437285,3.3,0.00877568141903757,uplift (bottom-tail greening),-0.02170462375694,-0.0273028057078421,-0.0161064418060379,0.468746293167019,0.273635741009427,0.663856845324612
Atlanta,5,1990,2023,-0.00609725417384647,0.0643684902557193,-0.0704657444295658,2.97476697032518,1.42878622355093,-1.54598074677424,-0.232536956617567,-5.10173646435501,3.3,0.0582712360818728,uplift (bottom-tail greening),-0.0244420504120021,-0.0300402323629042,-0.0188438684611,0.0753900769680554,-0.119720475189537,0.270500629125648
Bakersfield,5,1990,2023,-0.00277410256410252,-0.0107384763989084,0.00796437383480589,2.40366073126909,2.42626768460728,0.0226069533381943,0.0262824336548595,0.0746029460160412,3.3,0.00796437383480589,uplift (bottom-tail greening),-0.0141952141587555,-0.0197933961096576,-0.00859703220785338,0.493673586126262,0.29856303396867,0.688784138283855
Baltimore,5,1990,2023,-0.048939262296131,0.016361072277232,-0.065300334573363,1.23665885213358,-0.00271382227758225,-1.23937267441116,-0.215491104092098,-4.08992982555684,3.3,-0.032578190018899,erosion (top-tail decline),-0.0281181483663583,-0.0337163303172604,-0.0225199664154561,0.28277903121091,0.087668479053318,0.477889583368503
BangorME,5,1990,2023,-0.00290925974710216,0.00148124341412016,-0.00439050316122232,0.690044783983144,0.589037144362489,-0.101007639620655,-0.0144886604320336,-0.333325210748161,3.3,-0.001428016332982,erosion (top-tail decline),-0.0178116214038055,-0.0234098033547076,-0.0122134394529034,0.0713819332176295,-0.123728618939963,0.266492485375222
Billings,5,1990,2023,0.0171344573234984,0.0272250658587988,-0.0100906085353004,1.5541982349842,0.903514225500533,-0.650684009483663,-0.0332990081664912,-2.14725723129609,3.3,0.0100906085353004,uplift (bottom-tail greening),0.0239099947691645,0.0183118128182624,0.0295081767200666,0.201226223850351,0.00611567169275817,0.396336776007943
Birmingham,5,1990,2023,-0.0189339112941853,0.0182849643165054,-0.0372188756106907,1.35592581664911,0.195462968196194,-1.16046284845291,-0.122822289515279,-3.82952739989461,3.3,-0.000648946977679844,both,-0.00596691735580006,-0.0115650993067022,-0.000368735404897947,0.381576643771495,0.186466091613903,0.576687195929088
Bismarck,5,1990,2023,0.0137414646996839,-0.000974776080084251,0.0147162407797682,1.07399631190727,1.50870152792413,0.434705216016862,0.0485635945732349,1.43452721285564,3.3,-0.0127666886195997,erosion (top-tail decline),-0.00914634276549058,-0.0147445247163927,-0.00354816081458847,0.143572484762699,-0.0515380673948932,0.338683036920292
Bloomington,5,1990,2023,0.0110579952581665,-0.0215177160168598,0.0325757112750264,1.67784101685985,1.96338777660696,0.285546759747105,0.107499847207587,0.942304307165446,3.3,0.0104597207586933,uplift (bottom-tail greening),0.0279321100761087,0.0223339281252066,0.0335302920270108,0.061601024916121,-0.133509527241471,0.256711577073714
Boise,5,1990,2023,0.0364498138391289,0.0141449376536705,0.0223048761854584,1.29633425535651,1.57152530295048,0.275191047593964,0.0736060914120126,0.908130457060081,3.3,-0.0223048761854584,erosion (top-tail decline),-0.000941035160258482,-0.00653921711116059,0.00465714679064363,0.238169477818299,0.0430589256607063,0.433280029975891
BostonMA,5,1990,2023,-0.0427766223498738,-0.0177149789884039,-0.0250616433614699,1.29026899015138,1.10022045487899,-0.190048535272393,-0.0827034230928508,-0.627160166398897,3.3,-0.0250616433614699,erosion (top-tail decline),-0.039386487836863,-0.0449846697877651,-0.0337883058859609,0.168721515815371,-0.0263890363422219,0.363832067972963
Buffalo,5,1990,2023,-4.45148254316193e-05,0.017771355418331,-0.0178158702437626,0.757624244359227,0.344865239361598,-0.412759004997629,-0.0587923718044165,-1.36210471649218,3.3,0.0177268405928993,uplift (bottom-tail greening),-0.0173237452270558,-0.0229219271779579,-0.0117255632761536,0.228004710590781,0.0328941584331883,0.423115262748373
BurlingtonVT,5,1990,2023,0.0115825605900949,0.0403868150684932,-0.0288042544783983,1.12841464699684,0.567124341412016,-0.561290305584828,-0.0950540397787143,-1.85225800842993,3.3,0.0288042544783983,uplift (bottom-tail greening),0.00014799472643821,-0.0054501872244639,0.00574617667734032,0.0511846921149279,-0.143925860042665,0.24629524427252
Casper,5,1990,2023,0.0096118414120127,0.0195301765015806,-0.00991833508956795,1.41940147523709,1.55788738145417,0.138485906217072,-0.0327305057955742,0.457003490516338,3.3,0.00991833508956795,uplift (bottom-tail greening),-0.0200300913969852,-0.0256282733478873,-0.0144319094460831,0.236898461868743,0.0417879097111505,0.432009014026336
CharlestonSC,5,1990,2023,0.00493349139445035,0.0226546439861509,-0.0177211525917005,-0.376985837222131,-0.557234018264841,-0.18024818104271,-0.0584798035526118,-0.594818997440944,3.3,0.0177211525917005,uplift (bottom-tail greening),0.0083293817385727,0.00273119978767059,0.0139275636894748,0.428120487214775,0.233009935057183,0.623231039372367
CharlestonWV,5,1990,2023,-0.00110338294696161,0.0129199793642431,-0.0140233623112047,2.28519562258518,2.01072499560942,-0.274470626975762,-0.0462770956269756,-0.905753069020014,3.3,0.0118165964172815,uplift (bottom-tail greening),0.0608117881200048,0.0552136061691027,0.0664099700709069,0.0949703291620803,-0.100140222995512,0.290080881319673
Chicago,5,1990,2023,-0.0260335942746475,-0.00502202627232811,-0.0210115680023194,2.60107938035278,2.35867548931984,-0.242403891032942,-0.069338174407654,-0.79993284040871,3.3,-0.0210115680023194,erosion (top-tail decline),-0.0330815086406991,-0.0386796905916012,-0.027483326689797,0.0890225351822889,-0.106088016975304,0.284133087339881
Cincinnati,5,1990,2023,-0.0130575193445351,0.0280963378182203,-0.0411538571627555,0.72108220977574,-0.208149400501086,-0.929231610276825,-0.135807728637093,-3.06646431391352,3.3,0.0150388184736852,uplift (bottom-tail greening),-0.00215023066291059,-0.0077484126138127,0.00344795128799152,0.197545679806113,0.00243512764852077,0.392656231963706
ClearwaterFL,5,1990,2023,0.000643325858197266,0.0112328146423061,-0.0105894887841089,1.44209396880221,1.58819895693247,0.146104988130259,-0.0349453129875593,0.482146460829854,3.3,0.0105894887841089,uplift (bottom-tail greening),-0.028991729748498,-0.0345899116994001,-0.0233935477975959,0.426991504521616,0.231880952364023,0.622102056679208
Cleveland,5,1990,2023,0.00905510922458167,0.0332791377787966,-0.0242240285542149,0.476908348922844,-0.467279964186467,-0.944188313109311,-0.0799392942289091,-3.11582143326072,3.3,0.0242240285542149,uplift (bottom-tail greening),0.000708846434164417,-0.00488933551673769,0.00630702838506653,0.223146137292101,0.0280355851345085,0.418256689449694
